7J3AOZ	2715H
7K1BIB	100115M
7K1CPT	100120M
7K1DPE	1338M
7K1FRM	1113M
7K1III	1007M
7K1JFM	1102H
7K1MAG/2	1918M
7K1PEO/2	1814M
7K1PTO/1	110305H
7K1PTT	1513H
7K1PYG	1026M
7K1UGA	110306M
7K1VKU	1207M
7K1XBP	1314L
7K2AMG	134401M
7K2CAO	100111M
7K2COL	110113H
7K2HUG/2	19008M
7K2OYK	1013L
7K2QNI	1106M
7K2QWG	1010M
7K2VNA/1	1013M
7K3BKZ	1104M
7K3DWN	1107M
7K3HAJ/1	134404M
7K3OZQ	100111M
7K3SSP	1030M
7K3TVB	1019M
7K3VEY/1	1102L
7K4AEA	1705M
7K4GUR	1009H
7K4IVL	1318M
7K4OVF	110118M
7K4VPV	1026H
7K4XGF	1605M
7K4XNN	1107H
7L1DST/1	100108M
7L1ETP/1	100120M
7L1EYY	1002H
7L1FFH	134404M
7L1FFN/2	1910M
7L1GQM	110303M
7L1GTU	1401M
7L1JFS/1	1401M
7L1SED	110107M
7L1UVF	1012M
7L1VTB	1321M
7L1WQO	1104M
7L1WRK	1025M
7L2CRG	1013M
7L2LEG/1	1312M
7L2LWS/1	1419M
7L2PEH	100111M
7L2RAC	1227M
7L3BRO	100110H
7L3EBJ	100119M
7L3ETZ/3	2507M
7L3KJV	111001M
7L3LHU	120102M
7L3PFH	134403M
7L4FCN	11004M
7L4FRE	1010M
7L4IKF	100114M
7L4SCQ/1	134405M
7L4TID/1	100102L
7M1ANM/1	1319M
7M1BQT/1	1116M
7M1FDG/1	1207M
7M1GJT	1112M
7M1TRE	1307M
7M1UBW/1	14012M
7M2ALZ	1010M
7M2BZX	110104M
7M2FQY	1012M
7M2FTR	1321H
7M2GGJ	1106M
7M3DZI	1113H
7M3EFK	110117M
7M3IYU	110101M
7M3NRB	1206M
7M3OER/2	200116M
7M3PEK	110107M
7M3RFZ	1012M
7M4CTM	1009M
7M4GCN	1227M
7M4KSC/3	2708M
7M4NHA	1308M
7M4OAQ/1	100112M
7M4PTE	100115M
7M4QOA	1019M
7M4QOC	1208M
7M4RJP	1216M
7N1BHO	1341M
7N1MJH	100113M
7N1OCH	1308M
7N1PFW	1432M
7N1SGR	1321M
7N2CQS	1220M
7N2EUT	1424M
7N2GTR	100114M
7N2HJY	100109L
7N2JNN	11001L
7N2NZH	1003M
7N2SPK	1013M
7N2UQC	100112M
7N3AKG	1203M
7N3AKY/1	16003M
7N3IJT	1002M
7N3JQZ	1310L
7N3RLX	100107M
7N3TCK	100117M
7N3UKH	110305M
7N4AJE/1	110118M
7N4BGU	1329M
7N4EKM	1315M
7N4JXR	1328M
7N4KQM	1212L
7N4SJX	1207H
7N4SWK	110117M
7N4WJL	1016M
7N4XTA	1002H
8J1KWSK	110302M
8J1SOUMU/1	1011M
8J7JOMON/7	0203M
8N0J	0822M
8N1ING/1	1026M
8N1MORSE/1	1011M
8N1ZAMA/1	1117M
JA0ABK	0809M
JA0AUF	0822M
JA0CCL	0921M
JA0CRK/1	100119M
JA0CTW	09015M
JA0DVE	0919M
JA0EVI	0811H
JA0EYF/2	1805M
JA0FCV	080107M
JA0FQZ	0812M
JA0FVU	080103M
JA0GWJ/0	09008M
JA0IND	0808M
JA0IOF	0901M
JA0JHQ	09011H
JA0LSQ/0	0903M
JA0NFP	0825M
JA0OWR	0907M
JA0QD/1	1006L
JA0VFN	0802M
JA0WDV/0	0919M
JA0XQO/1	1707M
JA0YEH/0	0826M
JA0YJA/0	0903H
JA1-22825	0921M
JA1ABC/2	19011M
JA1AGH	110303M
JA1APE	111002M
JA1ASD	1701M
JA1ASJ/1	1403M
JA1ATM	11002M
JA1AWU	110106M
JA1BAE	1338H
JA1BAN	1404M
JA1BAU	1030M
JA1BCU	1601H
JA1BJI	110118M
JA1BON	100111H
JA1BTS	100116H
JA1BVY	1317H
JA1CCX/1	1010M
JA1CFM	1119M
JA1CIN	1007M
JA1COU	1317M
JA1CP	110113M
JA1CQT	110107M
JA1CRD	110118M
JA1CRJ	134404H
JA1CTX	110118M
JA1CTZ	1317M
JA1CXC	1605M
JA1DCK/1	1102H
JA1DFO	1605M
JA1DQR	1308M
JA1DSI	100115M
JA1ECG	100104M
JA1FGB	1302H
JA1FLS	110117M
JA1FPV	100116M
JA1FVE	110117M
JA1FWS	1212M
JA1FWY	1102H
JA1FXF	1102M
JA1GDT	1314M
JA1GDU	110103M
JA1GFD	100119H
JA1GTF	1401M
JA1GZK	1605M
JA1HBS/1	134402M
JA1HBV/1	15008M
JA1HLR	100117H
JA1HNW	1207M
JA1HOI/1	1013M
JA1HSX	100112M
JA1IAW	1437M
JA1IAZ	110117H
JA1ICH/1	1508M
JA1IE	100121M
JA1IHD	1310M
JA1ILI	1007M
JA1IQV	100115M
JA1IRH	1025M
JA1ISN	1012M
JA1IZZ	1304M
JA1JLP	1114M
JA1JNR	110117M
JA1JPB	1333M
JA1JUR	1106H
JA1KDU	1401M
JA1KHV	100112M
JA1KI	1002M
JA1KKL	1408M
JA1KPF	1420L
JA1LJW	100105H
JA1LKY	1414M
JA1LOG	1317M
JA1LZ	110111M
JA1MCD	11004M
JA1MJN	1203H
JA1NEJ	100112M
JA1NEZ	13009H
JA1NGB	100120H
JA1NXF	134409M
JA1OBF	1025M
JA1ODM/1	1408M
JA1OGX	100115M
JA1OHP	110106M
JA1OLT	110117M
JA1OTP/1	16001M
JA1OUD	100109M
JA1OYB	1012H
JA1PCM	120103M
JA1PI	1317M
JA1PNA	1602M
JA1PSE	1019M
JA1PTK	1302M
JA1PTO	110118M
JA1PYP	134407H
JA1QEU	110118H
JA1QJF	1712M
JA1QQU/2	1821M
JA1RDP	1010M
JA1RDT	100104M
JA1RGU	1112M
JA1RIZ/1	1308M
JA1RRA	1007M
JA1RVO	1014M
JA1RXC	1323H
JA1RYC	1008M
JA1SCE	110101H
JA1SHA	100111L
JA1SIM	100120M
JA1SVP	1601M
JA1SWL	1225M
JA1SZN	1113H
JA1TAZ/1	1603M
JA1TFJ	1006M
JA1TJV	1610M
JA1TMG	1505M
JA1TQE	1206M
JA1TXQ	100105L
JA1UAV	13003H
JA1UHJ	1010M
JA1UOA	110307H
JA1VQP	1116M
JA1VUA	1510H
JA1VVH	1318M
JA1WBN/1	1325H
JA1WGD	1012M
JA1WHG/1	1224H
JA1WNZ	100113M
JA1WQX	1005M
JA1WSE/1	1029M
JA1WUT	110107H
JA1WWO	110117H
JA1WYX/3	270104M
JA1WZV	100111H
JA1XHC	100119H
JA1XII	1010L
JA1XNT	1007H
JA1XPM	110110M
JA1XQC	1204H
JA1XRL	110110L
JA1XRQ	100120L
JA1XWD/1	1102M
JA1XYQ	100116M
JA1YAD/1	100110M
JA1YAX	100119M
JA1YBP	1024M
JA1YCD/1	100112M
JA1YCS/1	110116M
JA1YEV	1011M
JA1YFA	1314M
JA1YHC	100103H
JA1YJY/1	110101M
JA1YKL	100109M
JA1YML	1321M
JA1YNX	100112M
JA1YPZ	1113M
JA1YQK	110107M
JA1YSW	1005M
JA1YTI/1	1601M
JA1YTS/1	110302M
JA1YXP	134404H
JA1YYE	13009H
JA1ZBW	1114M
JA1ZGO	1007M
JA1ZGP	1009H
JA1ZI	1008H
JA1ZLO	100110M
JA1ZQA	110103M
JA2AUV	1906M
JA2AXB	180101H
JA2BCQ	2014M
JA2BZA	180206M
JA2DHL	2025M
JA2EBV	200114M
JA2FLE	2102M
JA2FXP	180101M
JA2HJP/2	1812M
JA2HOL	1813M
JA2HUV	1823H
JA2IJJ	1806M
JA2IXS	180102M
JA2KKA	2102M
JA2KPW	2013H
JA2KQE	200116H
JA2KVB	1812M
JA2MWV	2102L
JA2MYA	1901H
JA2NGN	1903L
JA2OAW	180102M
JA2ODB	1815H
JA2OZM	2005H
JA2PFO	1803M
JA2QVP	2022M
JA2RBU	2015H
JA2SWH/1	11007M
JA2TFU	2031M
JA2TTH/2	2102H
JA2UDU	2005H
JA2UFH	2007M
JA2UNS	20001M
JA2VWG	180202M
JA2WSP	180101H
JA2YAZ	200109M
JA2YDE	2008H
JA2YEF	2007M
JA2YKA	200101M
JA3-6644	180101H
JA3AER	2535H
JA3AVO	2708H
JA3BBG	2534M
JA3BVD	250202H
JA3EBT	270109M
JA3GZE/1	1612M
JA3HBF	2531M
JA3HHN	2513M
JA3HIL	27007M
JA3HPD	2713H
JA3IBU	250102M
JA3IJW	250204H
JA3JM	2529M
JA3JND	2705M
JA3KBF	2704M
JA3KDJ	2703M
JA3KIO	270101H
JA3KYS/3	2705M
JA3KZV	220111M
JA3LEB	27001H
JA3LGF	2509M
JA3LIL	2702M
JA3LKE/1	134408M
JA3LXI/1	1220M
JA3MVP	2405M
JA3NHK	2509M
JA3NJY/3	2702H
JA3NSW	2312H
JA3NUT	24005M
JA3OEA	250204M
JA3OLO	250201M
JA3PYH/3	270106M
JA3QBY	2509L
JA3QG	2509M
JA3QIH	2704M
JA3QOS	2509H
JA3RAZ	2705M
JA3RSJ	24007M
JA3SSB/1	1210M
JA3TSC	2710M
JA3UWB	220103M
JA3VOV	25004H
JA3WDL	2509H
JA3WNJ/1	1023M
JA3XOG	2705H
JA3XQO	2509M
JA3YPL	2705M
JA3ZKK/1	1342M
JA4-37294	270102M
JA4AYB	3511M
JA4BDY	3509M
JA4BEV	3306M
JA4COF	3102M
JA4EYC	3302M
JA4FPW	310101H
JA4GQD	3514L
JA4GTK	3301M
JA4HQU	350108M
JA4HXC	3503M
JA4IFS/4	3307M
JA4JCC	3114M
JA4JCY/1	17007M
JA4JSL	3301H
JA4KCG	3302H
JA4KGH	33006M
JA4LCI	3304H
JA4LZC	350102M
JA4OYA	3508M
JA4RQO	3203M
JA4RWN	3401H
JA4TSF/4	3307M
JA4UYM/4	3115H
JA4VNE	3301H
JA4VPS	3514M
JA4WWO/1	1509M
JA4YLJ/4	3302M
JA4YPE	3201M
JA4YTJ	3514M
JA4YWH	3313M
JA4ZCW	3508M
JA5CBU	3607M
JA5DVK	3901H
JA5EVM	3815M
JA5FNX	3804H
JA5GYU	38001M
JA5JQD	3605M
JA5LEU/5	3901M
JA5NNF	3702M
JA5NSR	3704M
JA5OXV/5	3813M
JA5QYR	36003H
JA5RB	3803H
JA5RCT/5	3806M
JA5REF	3815M
JA5UIM	3701M
JA5WPR/5	3704M
JA6ACZ	4036H
JA6AVT	40005M
JA6BWH	40005H
JA6CNX	4501H
JA6CYL	4204M
JA6DDW	4607M
JA6DH	40005M
JA6EES	402105M
JA6EFA/6	402104M
JA6EIM	4201M
JA6EOD	4501M
JA6FFK	400104H
JA6FOF/6	4201M
JA6FXL	4201M
JA6GC	402106L
JA6GCE	43010H
JA6GXP	430105H
JA6HXW	4306M
JA6IQG	4027H
JA6JFO/1	1003M
JA6LAD	4502M
JA6PAV	4204H
JA6QDU	4026M
JA6QQL/2	1820M
JA6RMS/6	400106M
JA6RPJ/6	4607M
JA6SEU	4401M
JA6SZV/1	1207M
JA6TFH	4007M
JA6USD/6	430101M
JA6UYE	4202M
JA6YBR	4501H
JA6YLP	402103M
JA7ACV	060101L
JA7ARW	06013M
JA7AXP	0202H
JA7BEW	03009M
JA7CQ	0301M
JA7DJO	0504H
JA7DNO	060105H
JA7EFR	0717M
JA7EVH	0304M
JA7FDA	0304M
JA7FLG	0705M
JA7KED	0717H
JA7KHQ/7	02008M
JA7KPI	0402M
JA7LCL	0615M
JA7LLL	06016H
JA7MAD	060104M
JA7NBL	0503M
JA7NPV	03008M
JA7ODY	060103M
JA7PGH/1	1210M
JA7QLP	0205M
JA7SLK	0504H
JA7SUR/1	17007M
JA7VHJ	0613M
JA7WXL	0309H
JA7YAF	0301M
JA7YBB	0301M
JA7YCQ	060101H
JA7YYM/7	0202M
JA7ZP	0401L
JA8BMD	0106H
JA8BRH	010103M
JA8DHV	010104L
JA8FDV	010104H
JA8FET	0126H
JA8IBU	01027M
JA8JWS/7	04007M
JA8KGG/8	010109M
JA8KXA	01073H
JA8NSF/1	1011M
JA8RUU	010105M
JA8RUZ	0102H
JA8RWU	0124H
JA8SBJ	0102L
JA8WVQ	01005M
JA9BFA/1	11001M
JA9COB/0	08013M
JA9DTV/1	1029M
JA9FHB	2811M
JA9IAX/1	100112M
JA9MAT	2802M
JA9NOF/9	2802M
JA9OJM	3001M
JA9RPU	2809M
JA9VGL/3	2411L
JA9WA	3001M
JA9XAT/9	3010M
JA9XCB	2804M
JA9YAA	3012M
JA9YBA	3001H
JD1BIA	10007M
JD1BNN/2	1812H
JE0CBS/1	12011M
JE0ERZ	0919M
JE0KBP	0816H
JE0WYM	0902M
JE1AKA/1	1228M
JE1ALA	134408M
JE1APY	1012M
JE1BBV	1227M
JE1BJP/1	1030H
JE1BPO/1	1116M
JE1CKA	1711M
JE1CWQ	1501M
JE1DKZ	110107M
JE1DXC	134407H
JE1ENI	110110M
JE1EQS	15007M
JE1GLP	1015M
JE1GMF	111001M
JE1GUU	11003H
JE1HBQ/1	1606M
JE1HJA/2	20001M
JE1HXZ/6	402102M
JE1ILP	100103M
JE1JBG/1	1604M
JE1JNJ	110102H
JE1KDI	110107M
JE1KRS	100122L
JE1LGW	1102M
JE1LGY	1102H
JE1LYS	1346M
JE1MUP	1325M
JE1NVD	1317M
JE1OOV	1207H
JE1PHS	100119M
JE1PIK	1304M
JE1PMQ	15007H
JE1QHP	13003M
JE1QJE/1	1302M
JE1RRK	1006M
JE1RZR	1111L
JE1SLP	1317M
JE1SPY	1113H
JE1UPB	1513M
JE1VMZ	1115H
JE1WOY	100108M
JE1WYW/1	1601M
JE1YEM	1113M
JE1YJL/1	1102M
JE2BOM	180203H
JE2EVX	200104M
JE2FJI	2015M
JE2HLU	2003M
JE2HXL/2	2102M
JE2IWO/2	2003M
JE2KYI	2022M
JE2MDD	2105M
JE2MDZ	2004H
JE2OTM	180102H
JE2OUK	180101L
JE2PCS/1	134404M
JE2PCY	2117H
JE2PEL	180201M
JE2QBL/2	19008M
JE2QND/2	19012H
JE2SDE/1	17007M
JE2SJH	2110M
JE2SOY/2	1901M
JE2WLD	2031H
JE2WWB	20005H
JE2XBS	2005M
JE3ARO/3	2301M
JE3FOR	270109M
JE3LUA	250126M
JE3NVI	2507M
JE3OQG	2512M
JE3OZB/1	1419M
JE3RMQ	250204M
JE3VRJ	2534H
JE3WQU	22008M
JE3XJS/3	250206M
JE4EYM/4	3508M
JE4EZP/4	3303M
JE4GJV	310103M
JE4HUB/1	13003M
JE4HVU/6	402103M
JE4MHL	3513H
JE4RXL/4	3102M
JE4VBW/4	3310M
JE4YOG	310104M
JE5EUT	39001H
JE5UMJ/3	220108M
JE5URC	3901H
JE5XIC	3602M
JE6CIY/4	35001M
JE6DND/6	43005H
JE6ETZ	4501M
JE6HCL/6	4308M
JE6JZP	4607M
JE6KFN	430101M
JE6KTB	46005M
JE6PJP	4202M
JE6QZU/6	43007L
JE6TUP/2	1813M
JE6XXA	400105L
JE7ARS/7	0410M
JE7BFU/7	07014M
JE7CWH/1	100106M
JE7DMH	0702M
JE7ENK/7	0701M
JE7LYL	0401H
JE7MAY	0404M
JE7SRK	0715M
JE7WWR/7	0612M
JE8BIZ	0126M
JE8KGH	010110M
JE8KKX	0102M
JE8ROM	010102M
JE8SMQ/8	01066M
JE8SND	01045M
JE8TRU/2	1902M
JE8UHY	0107M
JE9BGB/1	1407M
JE9HXD	29003M
JE9KZK/9	2909M
JE9VWK/9	2902M
JE9WEO	3001M
JF0IUN	0802M
JF0RRH	0901M
JF1ABZ	100121M
JF1AJX	134408M
JF1ATC	110118M
JF1ATM	1113M
JF1CPD	1227H
JF1DFA	120102M
JF1DIJ	1010M
JF1ELR	110117M
JF1GZZ	1007M
JF1IBZ	15007M
JF1KGX	1105M
JF1KUR	110112M
JF1LLB	110304M
JF1LVV	110101M
JF1MKH	1021M
JF1MLG	110101M
JF1MVF	1227M
JF1NDT/1	110116M
JF1NKQ	1221M
JF1NWF	134402M
JF1OPO	13003M
JF1OQM	110101M
JF1OST	1436M
JF1PBK	12004M
JF1PEQ/1	100112M
JF1PJR	110304M
JF1QHQ/1	120101M
JF1RFZ	1338M
JF1RYU	15008H
JF1TFC	120106M
JF1TPR/0	0909M
JF1UBQ	1427H
JF1UBU	1225H
JF1UOX	1111H
JF1UYZ/1	1503M
JF1VHO	1315L
JF1VSD/1	100119M
JF1VVR/1	1424M
JF1WAM	110109H
JF1WCK	1343M
JF1WLK	1007M
JF1WNT	110113H
JF1ZZG	1002M
JF2ABZ	19017M
