# Call, Exch1, UserText, 
# JARL contest support
# All Cities All Guns contest
# Last Edit,2024-02-02
7J3AOZ,2708M
7K1AEU/8,01039M
7K1BIB,100115M
7K1BJR,1102H
7K1BPK,1217L
7K1CPT,1430H
7K1CRO,1306H
7K1DPE,1338M
7K1FRM,1113M
7K1III,1007H
7K1JFM,1102M
7K1MAG/2,2031M
7K1PEO/2,2032M
7K1PTO,110305M
7K1PTT,1510M
7K1PYG,1026H
7K1UGA,110306L
7K1VKU,1207H
7K1XBP,1314L
7K2AMG,134401M
7K2CAO,100111M
7K2COL,110113M
7K2HUG/2,2008H
7K2NBL,1029M
7K2OYK,1013M
7K2QNI,1106H
7K2QWG,1010M
7K2VNA/1,1013M
7K3BKZ,1106M
7K3CZU,1106L
7K3DWN,1107H
7K3HAJ,134404M
7K3OME/1,110307M
7K3ORH,1314H
7K3OZQ,100111M
7K3SSP,1030M
7K3TVB,1019H
7K3VEY/1,1102L
7K4AEA,1705M
7K4GUR,1009M
7K4IVL,1318M
7K4OVF,110118M
7K4VPV,1026H
7K4XGF,1605M
7K4XNN,1107M
7L1DST/1,100108M
7L1ETP/1,100120M
7L1EYY,1002M
7L1FFH,134404H
7L1FFN/2,2002M
7L1GQM,110303H
7L1GTU,1401M
7L1JFS/1,1401M
7L1PNG,100109M
7L1QCJ/6,40007M
7L1SED,110107M
7L1UVF,1012H
7L1VTB,1321M
7L1WQO,1104H
7L1WRK,1025M
7L2CRG,1013M
7L2LEG/1,1312M
7L2LWS/1,1419M
7L2PEH,100111M
7L2UZC,1318M
7L2VPL,1211H
7L3BNR/1,1206M
7L3BRO,100110M
7L3EBJ,100119M
7L3ETZ/3,2412M
7L3KJV,111001H
7L3LHU,120102M
7L3PFH,134403M
7L3WVU,110102L
7L4FCN,11004M
7L4FRE,1010M
7L4IKF,100114M
7L4SCQ/1,134405M
7L4TID/1,100102L
7M1ANM/1,1319M
7M1BQT,1116M
7M1FDG/1,1207M
7M1GJT,1112M
7M1GYH,110304M
7M1TRE,1307M
7M1UBW/1,14012H
7M1VUE/1,1318M
7M2ALZ,1010H
7M2BZX,110104M
7M2FQY,1012M
7M2FTR,1321M
7M2GGJ,1106M
7M2SJE,100115M
7M3DZI,1113M
7M3EFK,110117M
7M3HYT,1006H
7M3IYU,110101M
7M3LDC,1002H
7M3NRB,1206M
7M3OER/2,1906M
7M3PEK,110108M
7M3RFZ,1012M
7M3SKC/7,0504M
7M4CLF/9,2907M
7M4CTM,1009M
7M4GCN,1227H
