# Callsign Distribution...
# Total Calls      6342 (100.0%)
# Local...         2883 ( 45.5%)
#  - USA           2607 ( 41.1%)
#  - Canada         206 (  3.2%)
#  - Mexico          47 (  0.7%)
#  - Alaska          13 (  0.2%)
#  - Hawaii          10 (  0.2%)
# DX...            3459 ( 54.5%)
#  - N. America      67 (  1.1%)
#  - S. America     380 (  6.0%)
#  - Europe        2100 ( 33.1%)
#  - Asia           706 ( 11.1%)
#  - Africa          43 (  0.7%)
#  - Oceania        132 (  2.1%)
#  - Maritime        31 (  0.5%)

cabrillo_id	year	call	host	cat	section	dxcc	score	qso	mult	late_log_flag	club	minutes_on	ops
ARRL-10	2025	2E0CVN	2E0CVN	SO-CW-LP		G	21996	120	47	0		358	2E0CVN
ARRL-10	2025	2E0GKW	2E0GKW	SO-PH-LP		G	1320	36	20	0		198	2E0GKW
ARRL-10	2025	2E0IZK	2E0IZK	SOU-PH-LP		G	630	21	15	0		61	2E0IZK
ARRL-10	2025	2E0LMI	2E0LMI	SOU-MIX-LP		G	3888	52	36	0		231	2E0LMI
ARRL-10	2025	2E0PLA	2E0PLA	SO-PH-LP		G	5850	87	39	0		305	2E0PLA
ARRL-10	2025	2E0YEM	2E0YEM	SOU-CW-LP		G	107244	333	81	0		802	2E0YEM
ARRL-10	2025	3DA0PA	3DA0PA	SO-PH-QRP		3DA	128	8	8	0		62	3DA0PA
ARRL-10	2025	3W9A	3W9A	SOU-MIX-HP		3W	488114	1137	121	0		1368	3W9A
ARRL-10	2025	4A2DX	4A2DX	MSLP	AGS		496320	1047	165	0		959	XE2AD XE2B XE2LGR
ARRL-10	2025	4A5E	4A5E	SOU-MIX-LP	QRO		233766	738	117	0		593	XE1EE
ARRL-10	2025	4E0D	4E0D	SO-PH-LP		DU	7192	116	31	0		428	4E0D
ARRL-10	2025	4E1AGW	4E1AGW	SO-MIX-LP		DU	15840	169	24	0		411	4E1AGW
ARRL-10	2025	4E9VVN	4E9VVN	SO-PH-LP		DU	14756	218	34	0		726	4E9VVN
ARRL-10	2025	4F1EBD	4F1EBD	SOU-PH-LP		DU	76254	543	71	0		916	4F1EBD
ARRL-10	2025	4F3OM	4F3OM	SOU-CW-QRP		DU	55104	341	42	0		549	4F3OM
